CRN CTYPE CODE RSEAT STIME ETIME DAY SEM SUBJ 
42590 Lec COMM4710U 8 1410 1700 8 201509 COMM 
42590 Lec COMM4710U 8 1410 1700 3 201509 COMM 
41139 Lec APBS6010G 7 0940 1100 2 201509 APBS 
41139 Lec APBS6010G 7 0940 1100 7 201509 APBS 
43195 Lec APBS6300G 4 1240 1400 2 201509 APBS 
43195 Lec APBS6300G 4 1110 1230 9 201509 APBS 
43195 Lec APBS6300G 4 1240 1400 7 201509 APBS 
43195 Lec APBS6300G 4 1110 1230 4 201509 APBS 
42465 Lec APBS6400G 4 1540 1700 6 201509 APBS 
42465 Lec APBS6400G 4 1410 1530 8 201509 APBS 
42465 Lec APBS6400G 4 1540 1700 1 201509 APBS 
42465 Lec APBS6400G 4 1410 1530 3 201509 APBS 
42026 Lec APBS7050G 7 1410 1530 4 201509 APBS 
42026 Lec APBS7050G 7 1410 1530 9 201509 APBS 
44041 Lec ANTH1002T 58 1110 1400 2 201509 ANTH 
44041 Lec ANTH1002T 58 1110 1400 7 201509 ANTH 
44027 Lec ANTH2030T 0 1840 2130 6 201509 ANTH 
44027 Lec ANTH2030T 0 1840 2130 1 201509 ANTH 
70247 Lec STAT2800U 25 1540 1700 6 201601 STAT 
70247 Lec STAT2800U 25 1410 1530 8 201601 STAT 
70247 Lec STAT2800U 25 1540 1700 1 201601 STAT 
70247 Lec STAT2800U 25 1410 1530 3 201601 STAT 
70248 Lec STAT2800U 111 1710 1830 6 201601 STAT 
70248 Lec STAT2800U 111 1710 1830 3 201601 STAT 
70248 Lec STAT2800U 111 1710 1830 8 201601 STAT 
70248 Lec STAT2800U 111 1710 1830 1 201601 STAT 
70258 Lec STAT3010U 20 1240 1400 3 201601 STAT 
70258 Lec STAT3010U 20 1240 1400 8 201601 STAT 
70258 Lec STAT3010U 20 1110 1230 10 201601 STAT 
70258 Lec STAT3010U 20 1110 1230 5 201601 STAT 
42684 Lec CSCI1030U 0 1110 1230 3 201509 CSCI 
42684 Lec CSCI1030U 0 1240 1400 1 201509 CSCI 
42684 Lec CSCI1030U 0 1110 1230 8 201509 CSCI 
42684 Lec CSCI1030U 0 1240 1400 6 201509 CSCI 
42685 Lab CSCI1030U 0 1410 1530 5 201509 CSCI 
42685 Lab CSCI1030U 0 1410 1530 10 201509 CSCI 
42686 Lab CSCI1030U 0 1540 1700 6 201509 CSCI 
42686 Lab CSCI1030U 0 1540 1700 1 201509 CSCI 
42687 Lab CSCI1030U 0 1410 1530 4 201509 CSCI 
42687 Lab CSCI1030U 0 1410 1530 9 201509 CSCI 
43124 Lec CSCI1040U 44 1410 1530 6 201509 CSCI 
43124 Lec CSCI1040U 44 1540 1700 4 201509 CSCI 
43124 Lec CSCI1040U 44 1410 1530 1 201509 CSCI 
43124 Lec CSCI1040U 44 1540 1700 9 201509 CSCI 
43126 Lab CSCI1040U 0 1540 1700 7 201509 CSCI 
43126 Lab CSCI1040U 0 1540 1700 2 201509 CSCI 
43127 Lab CSCI1040U 0 1540 1700 7 201509 CSCI 
43127 Lab CSCI1040U 0 1540 1700 2 201509 CSCI 
43128 Lab CSCI1040U 1 0940 1100 2 201509 CSCI 
43128 Lab CSCI1040U 1 0940 1100 7 201509 CSCI 
43129 Lab CSCI1040U 11 0940 1100 2 201509 CSCI 
43129 Lab CSCI1040U 11 0940 1100 7 201509 CSCI 
43130 Lab CSCI1040U 0 1710 1830 3 201509 CSCI 
43130 Lab CSCI1040U 0 1710 1830 8 201509 CSCI 
43132 Lab CSCI1040U 9 1710 1830 3 201509 CSCI 
43132 Lab CSCI1040U 9 1710 1830 8 201509 CSCI 
43133 Lab CSCI1040U 0 1110 1230 3 201509 CSCI 
43133 Lab CSCI1040U 0 1110 1230 8 201509 CSCI 
70484 Lec SOCI1000U 38 1840 2130 6 201601 SOCI 
70484 Lec SOCI1000U 38 1840 2130 1 201601 SOCI 
73375 Lec SOFE2715U 28 0940 1100 9 201601 SOFE 
73375 Lec SOFE2715U 28 0810 0930 6 201601 SOFE 
73375 Lec SOFE2715U 28 0940 1100 4 201601 SOFE 
73375 Lec SOFE2715U 28 0810 0930 1 201601 SOFE 
73376 Tut SOFE2715U 28 0940 1100 8 201601 SOFE 
73376 Tut SOFE2715U 28 0940 1100 3 201601 SOFE 
73377 Lec SOFE2720U 35 1540 1700 7 201601 SOFE 
73377 Lec SOFE2720U 35 1410 1530 4 201601 SOFE 
73377 Lec SOFE2720U 35 1540 1700 2 201601 SOFE 
73377 Lec SOFE2720U 35 1410 1530 9 201601 SOFE 
73378 Lab SOFE2720U 0 1110 1400 2 201601 SOFE 
73379 Tut SOFE2720U 35 1110 1230 3 201601 SOFE 
73612 Lab SOFE2720U 35 1110 1400 7 201601 SOFE 
